titre,niveau,type_document,contexte,duree_recommandee_min,texte
Simulation CE 011 - Tribune formation continue des adultes,B2,Texte argumentatif,Debat d'idees,14,"Le debat sur formation continue des adultes est souvent presente de maniere binaire: soit une solution miracle, soit une menace pour la qualite. Cette opposition simplifie un sujet plus complexe. Les partisans soulignent la flexibilite, l'acces rapide aux ressources et la possibilite de personnaliser le rythme d'apprentissage.

Dans une enquete recente, 63% des etudiants declarent mieux organiser leur travail avec des outils numeriques. En revanche, 35% signalent une baisse de concentration quand les modalites d'accompagnement sont insuffisantes. Autrement dit, la technologie ne produit pas automatiquement des effets positifs: la qualite du cadre pedagogique reste decisive.

Plutot que de choisir entre deux modeles exclusifs, plusieurs etablissements experimentent des dispositifs hybrides. Ils combinent flexibilite technique, suivi humain regulier et exigences explicites sur la methode de travail. Cette approche vise moins a opposer les formats qu'a renforcer la reussite durable."
Simulation CE 012 - Annonce mediatheque des Rives,A2,Annonce publique,Informations pratiques,8,"Le mediatheque des Rives modifie ses horaires a partir du 9 mars. Le lundi et le mercredi, il ouvre de 10h a 19h. Le mardi et le jeudi, il ouvre de 12h a 20h. Le vendredi, il ferme a 18h. Les samedis sont reserves aux activites en famille, de 9h a 13h.

Pendant le mois de mars, l'inscription est gratuite pour les nouveaux habitants. Pour s'inscrire, il faut presenter une piece d'identite et un justificatif de domicile recent.

Un atelier de conversation en francais est propose chaque jeudi a 17h30. Les places sont limitees a 22 participants. La reservation se fait a l'accueil ou par telephone."
Simulation CE 013 - Courriel service numerique,B1,Courriel administratif,Vie etudiante,10,"Objet: Mise a jour de la procedure de depot des travaux

Le service numerique informe les etudiants qu'a partir du semestre prochain, les travaux ecrits devront etre deposes sur la plateforme numerique. Les depots par courriel ne seront plus acceptes, sauf en cas de panne officielle.

En cas de panne confirmee, un message sera diffuse et un delai supplementaire de 36 heures sera accorde. Pour eviter les erreurs, il faut nommer le fichier avec le numero etudiant, utiliser le format PDF et verifier la confirmation de depot avant la date limite. Sans confirmation, le travail est considere comme non remis.

Un atelier d'accompagnement est organise mercredi prochain, de 17h a 18h30, en salle A309. La participation est facultative mais recommandee pour les etudiants de premiere annee."
Simulation CE 014 - Tribune evaluation continue,B2,Texte argumentatif,Debat d'idees,14,"Le debat sur evaluation continue est souvent presente de maniere binaire: soit une solution miracle, soit une menace pour la qualite. Cette opposition simplifie un sujet plus complexe. Les partisans soulignent la flexibilite, l'acces rapide aux ressources et la possibilite de personnaliser le rythme d'apprentissage.

Dans une enquete recente, 66% des etudiants declarent mieux organiser leur travail avec des outils numeriques. En revanche, 38% signalent une baisse de concentration quand les modalites d'accompagnement sont insuffisantes. Autrement dit, la technologie ne produit pas automatiquement des effets positifs: la qualite du cadre pedagogique reste decisive.

Plutot que de choisir entre deux modeles exclusifs, plusieurs etablissements experimentent des dispositifs hybrides. Ils combinent flexibilite technique, suivi humain regulier et exigences explicites sur la methode de travail. Cette approche vise moins a opposer les formats qu'a renforcer la reussite durable."
Simulation CE 015 - Annonce centre de quartier Bellevue,A2,Annonce publique,Informations pratiques,8,"Le centre de quartier Bellevue modifie ses horaires a partir du 12 juin. Le lundi et le mercredi, il ouvre de 10h a 19h. Le mardi et le jeudi, il ouvre de 12h a 20h. Le vendredi, il ferme a 18h. Les samedis sont reserves aux activites en famille, de 9h a 13h.

Pendant le mois de juin, l'inscription est gratuite pour les nouveaux habitants. Pour s'inscrire, il faut presenter une piece d'identite et un justificatif de domicile recent.

Un atelier de conversation en francais est propose chaque jeudi a 17h30. Les places sont limitees a 25 participants. La reservation se fait a l'accueil ou par telephone."
Simulation CE 016 - Courriel service des etudes,B1,Courriel administratif,Vie etudiante,10,"Objet: Mise a jour de la procedure de depot des travaux

Le service des etudes informe les etudiants qu'a partir du semestre prochain, les travaux ecrits devront etre deposes sur la plateforme numerique. Les depots par courriel ne seront plus acceptes, sauf en cas de panne officielle.

En cas de panne confirmee, un message sera diffuse et un delai supplementaire de 36 heures sera accorde. Pour eviter les erreurs, il faut nommer le fichier avec le numero etudiant, utiliser le format PDF et verifier la confirmation de depot avant la date limite. Sans confirmation, le travail est considere comme non remis.

Un atelier d'accompagnement est organise mercredi prochain, de 17h a 18h30, en salle B204. La participation est facultative mais recommandee pour les etudiants de premiere annee."
Simulation CE 017 - Tribune accompagnement methodologique,B2,Texte argumentatif,Debat d'idees,14,"Le debat sur accompagnement methodologique est souvent presente de maniere binaire: soit une solution miracle, soit une menace pour la qualite. Cette opposition simplifie un sujet plus complexe. Les partisans soulignent la flexibilite, l'acces rapide aux ressources et la possibilite de personnaliser le rythme d'apprentissage.

Dans une enquete recente, 69% des etudiants declarent mieux organiser leur travail avec des outils numeriques. En revanche, 41% signalent une baisse de concentration quand les modalites d'accompagnement sont insuffisantes. Autrement dit, la technologie ne produit pas automatiquement des effets positifs: la qualite du cadre pedagogique reste decisive.

Plutot que de choisir entre deux modeles exclusifs, plusieurs etablissements experimentent des dispositifs hybrides. Ils combinent flexibilite technique, suivi humain regulier et exigences explicites sur la methode de travail. Cette approche vise moins a opposer les formats qu'a renforcer la reussite durable."
Simulation CE 018 - Annonce maison des associations,A2,Annonce publique,Informations pratiques,8,"Le maison des associations modifie ses horaires a partir du 15 mars. Le lundi et le mercredi, il ouvre de 10h a 19h. Le mardi et le jeudi, il ouvre de 12h a 20h. Le vendredi, il ferme a 18h. Les samedis sont reserves aux activites en famille, de 9h a 13h.

Pendant le mois de mars, l'inscription est gratuite pour les nouveaux habitants. Pour s'inscrire, il faut presenter une piece d'identite et un justificatif de domicile recent.

Un atelier de conversation en francais est propose chaque jeudi a 17h30. Les places sont limitees a 28 participants. La reservation se fait a l'accueil ou par telephone."
Simulation CE 019 - Courriel secretariat des licences,B1,Courriel administratif,Vie etudiante,10,"Objet: Mise a jour de la procedure de depot des travaux

Le secretariat des licences informe les etudiants qu'a partir du semestre prochain, les travaux ecrits devront etre deposes sur la plateforme numerique. Les depots par courriel ne seront plus acceptes, sauf en cas de panne officielle.

En cas de panne confirmee, un message sera diffuse et un delai supplementaire de 36 heures sera accorde. Pour eviter les erreurs, il faut nommer le fichier avec le numero etudiant, utiliser le format PDF et verifier la confirmation de depot avant la date limite. Sans confirmation, le travail est considere comme non remis.

Un atelier d'accompagnement est organise mercredi prochain, de 17h a 18h30, en salle D118. La participation est facultative mais recommandee pour les etudiants de premiere annee."
Simulation CE 020 - Tribune apprentissage hybride,B2,Texte argumentatif,Debat d'idees,14,"Le debat sur apprentissage hybride est souvent presente de maniere binaire: soit une solution miracle, soit une menace pour la qualite. Cette opposition simplifie un sujet plus complexe. Les partisans soulignent la flexibilite, l'acces rapide aux ressources et la possibilite de personnaliser le rythme d'apprentissage.

Dans une enquete recente, 72% des etudiants declarent mieux organiser leur travail avec des outils numeriques. En revanche, 44% signalent une baisse de concentration quand les modalites d'accompagnement sont insuffisantes. Autrement dit, la technologie ne produit pas automatiquement des effets positifs: la qualite du cadre pedagogique reste decisive.

Plutot que de choisir entre deux modeles exclusifs, plusieurs etablissements experimentent des dispositifs hybrides. Ils combinent flexibilite technique, suivi humain regulier et exigences explicites sur la methode de travail. Cette approche vise moins a opposer les formats qu'a renforcer la reussite durable."
Simulation CE 021 - Annonce centre culturel Voltaire,A2,Annonce publique,Informations pratiques,8,"Le centre culturel Voltaire modifie ses horaires a partir du 18 juin. Le lundi et le mercredi, il ouvre de 10h a 19h. Le mardi et le jeudi, il ouvre de 12h a 20h. Le vendredi, il ferme a 18h. Les samedis sont reserves aux activites en famille, de 9h a 13h.

Pendant le mois de juin, l'inscription est gratuite pour les nouveaux habitants. Pour s'inscrire, il faut presenter une piece d'identite et un justificatif de domicile recent.

Un atelier de conversation en francais est propose chaque jeudi a 17h30. Les places sont limitees a 16 participants. La reservation se fait a l'accueil ou par telephone."
Simulation CE 022 - Courriel service pedagogique,B1,Courriel administratif,Vie etudiante,10,"Objet: Mise a jour de la procedure de depot des travaux

Le service pedagogique informe les etudiants qu'a partir du semestre prochain, les travaux ecrits devront etre deposes sur la plateforme numerique. Les depots par courriel ne seront plus acceptes, sauf en cas de panne officielle.

En cas de panne confirmee, un message sera diffuse et un delai supplementaire de 36 heures sera accorde. Pour eviter les erreurs, il faut nommer le fichier avec le numero etudiant, utiliser le format PDF et verifier la confirmation de depot avant la date limite. Sans confirmation, le travail est considere comme non remis.

Un atelier d'accompagnement est organise mercredi prochain, de 17h a 18h30, en salle C112. La participation est facultative mais recommandee pour les etudiants de premiere annee."
Simulation CE 023 - Tribune travail collaboratif en ligne,B2,Texte argumentatif,Debat d'idees,14,"Le debat sur travail collaboratif en ligne est souvent presente de maniere binaire: soit une solution miracle, soit une menace pour la qualite. Cette opposition simplifie un sujet plus complexe. Les partisans soulignent la flexibilite, l'acces rapide aux ressources et la possibilite de personnaliser le rythme d'apprentissage.

Dans une enquete recente, 75% des etudiants declarent mieux organiser leur travail avec des outils numeriques. En revanche, 32% signalent une baisse de concentration quand les modalites d'accompagnement sont insuffisantes. Autrement dit, la technologie ne produit pas automatiquement des effets positifs: la qualite du cadre pedagogique reste decisive.

Plutot que de choisir entre deux modeles exclusifs, plusieurs etablissements experimentent des dispositifs hybrides. Ils combinent flexibilite technique, suivi humain regulier et exigences explicites sur la methode de travail. Cette approche vise moins a opposer les formats qu'a renforcer la reussite durable."
Simulation CE 024 - Annonce espace municipal Victor-Hugo,A2,Annonce publique,Informations pratiques,8,"Le espace municipal Victor-Hugo modifie ses horaires a partir du 21 mars. Le lundi et le mercredi, il ouvre de 10h a 19h. Le mardi et le jeudi, il ouvre de 12h a 20h. Le vendredi, il ferme a 18h. Les samedis sont reserves aux activites en famille, de 9h a 13h.

Pendant le mois de mars, l'inscription est gratuite pour les nouveaux habitants. Pour s'inscrire, il faut presenter une piece d'identite et un justificatif de domicile recent.

Un atelier de conversation en francais est propose chaque jeudi a 17h30. Les places sont limitees a 19 participants. La reservation se fait a l'accueil ou par telephone."
Simulation CE 025 - Courriel direction des formations,B1,Courriel administratif,Vie etudiante,10,"Objet: Mise a jour de la procedure de depot des travaux

Le direction des formations informe les etudiants qu'a partir du semestre prochain, les travaux ecrits devront etre deposes sur la plateforme numerique. Les depots par courriel ne seront plus acceptes, sauf en cas de panne officielle.

En cas de panne confirmee, un message sera diffuse et un delai supplementaire de 36 heures sera accorde. Pour eviter les erreurs, il faut nommer le fichier avec le numero etudiant, utiliser le format PDF et verifier la confirmation de depot avant la date limite. Sans confirmation, le travail est considere comme non remis.

Un atelier d'accompagnement est organise mercredi prochain, de 17h a 18h30, en salle B117. La participation est facultative mais recommandee pour les etudiants de premiere annee."
Simulation CE 026 - Tribune integration du numerique a l'universite,B2,Texte argumentatif,Debat d'idees,14,"Le debat sur integration du numerique a l'universite est souvent presente de maniere binaire: soit une solution miracle, soit une menace pour la qualite. Cette opposition simplifie un sujet plus complexe. Les partisans soulignent la flexibilite, l'acces rapide aux ressources et la possibilite de personnaliser le rythme d'apprentissage.

Dans une enquete recente, 60% des etudiants declarent mieux organiser leur travail avec des outils numeriques. En revanche, 35% signalent une baisse de concentration quand les modalites d'accompagnement sont insuffisantes. Autrement dit, la technologie ne produit pas automatiquement des effets positifs: la qualite du cadre pedagogique reste decisive.

Plutot que de choisir entre deux modeles exclusifs, plusieurs etablissements experimentent des dispositifs hybrides. Ils combinent flexibilite technique, suivi humain regulier et exigences explicites sur la methode de travail. Cette approche vise moins a opposer les formats qu'a renforcer la reussite durable."
Simulation CE 027 - Annonce mediatheque des Rives,A2,Annonce publique,Informations pratiques,8,"Le mediatheque des Rives modifie ses horaires a partir du 4 juin. Le lundi et le mercredi, il ouvre de 10h a 19h. Le mardi et le jeudi, il ouvre de 12h a 20h. Le vendredi, il ferme a 18h. Les samedis sont reserves aux activites en famille, de 9h a 13h.

Pendant le mois de juin, l'inscription est gratuite pour les nouveaux habitants. Pour s'inscrire, il faut presenter une piece d'identite et un justificatif de domicile recent.

Un atelier de conversation en francais est propose chaque jeudi a 17h30. Les places sont limitees a 22 participants. La reservation se fait a l'accueil ou par telephone."
Simulation CE 028 - Courriel service numerique,B1,Courriel administratif,Vie etudiante,10,"Objet: Mise a jour de la procedure de depot des travaux

Le service numerique informe les etudiants qu'a partir du semestre prochain, les travaux ecrits devront etre deposes sur la plateforme numerique. Les depots par courriel ne seront plus acceptes, sauf en cas de panne officielle.

En cas de panne confirmee, un message sera diffuse et un delai supplementaire de 36 heures sera accorde. Pour eviter les erreurs, il faut nommer le fichier avec le numero etudiant, utiliser le format PDF et verifier la confirmation de depot avant la date limite. Sans confirmation, le travail est considere comme non remis.

Un atelier d'accompagnement est organise mercredi prochain, de 17h a 18h30, en salle A309. La participation est facultative mais recommandee pour les etudiants de premiere annee."
Simulation CE 029 - Tribune usage des plateformes educatives,B2,Texte argumentatif,Debat d'idees,14,"Le debat sur usage des plateformes educatives est souvent presente de maniere binaire: soit une solution miracle, soit une menace pour la qualite. Cette opposition simplifie un sujet plus complexe. Les partisans soulignent la flexibilite, l'acces rapide aux ressources et la possibilite de personnaliser le rythme d'apprentissage.

Dans une enquete recente, 63% des etudiants declarent mieux organiser leur travail avec des outils numeriques. En revanche, 38% signalent une baisse de concentration quand les modalites d'accompagnement sont insuffisantes. Autrement dit, la technologie ne produit pas automatiquement des effets positifs: la qualite du cadre pedagogique reste decisive.

Plutot que de choisir entre deux modeles exclusifs, plusieurs etablissements experimentent des dispositifs hybrides. Ils combinent flexibilite technique, suivi humain regulier et exigences explicites sur la methode de travail. Cette approche vise moins a opposer les formats qu'a renforcer la reussite durable."
Simulation CE 030 - Annonce centre de quartier Bellevue,A2,Annonce publique,Informations pratiques,8,"Le centre de quartier Bellevue modifie ses horaires a partir du 7 mars. Le lundi et le mercredi, il ouvre de 10h a 19h. Le mardi et le jeudi, il ouvre de 12h a 20h. Le vendredi, il ferme a 18h. Les samedis sont reserves aux activites en famille, de 9h a 13h.

Pendant le mois de mars, l'inscription est gratuite pour les nouveaux habitants. Pour s'inscrire, il faut presenter une piece d'identite et un justificatif de domicile recent.

Un atelier de conversation en francais est propose chaque jeudi a 17h30. Les places sont limitees a 25 participants. La reservation se fait a l'accueil ou par telephone."
Simulation CE 031 - Courriel service des etudes,B1,Courriel administratif,Vie etudiante,10,"Objet: Mise a jour de la procedure de depot des travaux

Le service des etudes informe les etudiants qu'a partir du semestre prochain, les travaux ecrits devront etre deposes sur la plateforme numerique. Les depots par courriel ne seront plus acceptes, sauf en cas de panne officielle.

En cas de panne confirmee, un message sera diffuse et un delai supplementaire de 36 heures sera accorde. Pour eviter les erreurs, il faut nommer le fichier avec le numero etudiant, utiliser le format PDF et verifier la confirmation de depot avant la date limite. Sans confirmation, le travail est considere comme non remis.

Un atelier d'accompagnement est organise mercredi prochain, de 17h a 18h30, en salle B204. La participation est facultative mais recommandee pour les etudiants de premiere annee."
Simulation CE 032 - Tribune formation continue des adultes,B2,Texte argumentatif,Debat d'idees,14,"Le debat sur formation continue des adultes est souvent presente de maniere binaire: soit une solution miracle, soit une menace pour la qualite. Cette opposition simplifie un sujet plus complexe. Les partisans soulignent la flexibilite, l'acces rapide aux ressources et la possibilite de personnaliser le rythme d'apprentissage.

Dans une enquete recente, 66% des etudiants declarent mieux organiser leur travail avec des outils numeriques. En revanche, 41% signalent une baisse de concentration quand les modalites d'accompagnement sont insuffisantes. Autrement dit, la technologie ne produit pas automatiquement des effets positifs: la qualite du cadre pedagogique reste decisive.

Plutot que de choisir entre deux modeles exclusifs, plusieurs etablissements experimentent des dispositifs hybrides. Ils combinent flexibilite technique, suivi humain regulier et exigences explicites sur la methode de travail. Cette approche vise moins a opposer les formats qu'a renforcer la reussite durable."
Simulation CE 033 - Annonce maison des associations,A2,Annonce publique,Informations pratiques,8,"Le maison des associations modifie ses horaires a partir du 10 juin. Le lundi et le mercredi, il ouvre de 10h a 19h. Le mardi et le jeudi, il ouvre de 12h a 20h. Le vendredi, il ferme a 18h. Les samedis sont reserves aux activites en famille, de 9h a 13h.

Pendant le mois de juin, l'inscription est gratuite pour les nouveaux habitants. Pour s'inscrire, il faut presenter une piece d'identite et un justificatif de domicile recent.

Un atelier de conversation en francais est propose chaque jeudi a 17h30. Les places sont limitees a 28 participants. La reservation se fait a l'accueil ou par telephone."
Simulation CE 034 - Courriel secretariat des licences,B1,Courriel administratif,Vie etudiante,10,"Objet: Mise a jour de la procedure de depot des travaux

Le secretariat des licences informe les etudiants qu'a partir du semestre prochain, les travaux ecrits devront etre deposes sur la plateforme numerique. Les depots par courriel ne seront plus acceptes, sauf en cas de panne officielle.

En cas de panne confirmee, un message sera diffuse et un delai supplementaire de 36 heures sera accorde. Pour eviter les erreurs, il faut nommer le fichier avec le numero etudiant, utiliser le format PDF et verifier la confirmation de depot avant la date limite. Sans confirmation, le travail est considere comme non remis.

Un atelier d'accompagnement est organise mercredi prochain, de 17h a 18h30, en salle D118. La participation est facultative mais recommandee pour les etudiants de premiere annee."
Simulation CE 035 - Tribune evaluation continue,B2,Texte argumentatif,Debat d'idees,14,"Le debat sur evaluation continue est souvent presente de maniere binaire: soit une solution miracle, soit une menace pour la qualite. Cette opposition simplifie un sujet plus complexe. Les partisans soulignent la flexibilite, l'acces rapide aux ressources et la possibilite de personnaliser le rythme d'apprentissage.

Dans une enquete recente, 69% des etudiants declarent mieux organiser leur travail avec des outils numeriques. En revanche, 44% signalent une baisse de concentration quand les modalites d'accompagnement sont insuffisantes. Autrement dit, la technologie ne produit pas automatiquement des effets positifs: la qualite du cadre pedagogique reste decisive.

Plutot que de choisir entre deux modeles exclusifs, plusieurs etablissements experimentent des dispositifs hybrides. Ils combinent flexibilite technique, suivi humain regulier et exigences explicites sur la methode de travail. Cette approche vise moins a opposer les formats qu'a renforcer la reussite durable."
Simulation CE 036 - Annonce centre culturel Voltaire,A2,Annonce publique,Informations pratiques,8,"Le centre culturel Voltaire modifie ses horaires a partir du 13 mars. Le lundi et le mercredi, il ouvre de 10h a 19h. Le mardi et le jeudi, il ouvre de 12h a 20h. Le vendredi, il ferme a 18h. Les samedis sont reserves aux activites en famille, de 9h a 13h.

Pendant le mois de mars, l'inscription est gratuite pour les nouveaux habitants. Pour s'inscrire, il faut presenter une piece d'identite et un justificatif de domicile recent.

Un atelier de conversation en francais est propose chaque jeudi a 17h30. Les places sont limitees a 16 participants. La reservation se fait a l'accueil ou par telephone."
Simulation CE 037 - Courriel service pedagogique,B1,Courriel administratif,Vie etudiante,10,"Objet: Mise a jour de la procedure de depot des travaux

Le service pedagogique informe les etudiants qu'a partir du semestre prochain, les travaux ecrits devront etre deposes sur la plateforme numerique. Les depots par courriel ne seront plus acceptes, sauf en cas de panne officielle.

En cas de panne confirmee, un message sera diffuse et un delai supplementaire de 36 heures sera accorde. Pour eviter les erreurs, il faut nommer le fichier avec le numero etudiant, utiliser le format PDF et verifier la confirmation de depot avant la date limite. Sans confirmation, le travail est considere comme non remis.

Un atelier d'accompagnement est organise mercredi prochain, de 17h a 18h30, en salle C112. La participation est facultative mais recommandee pour les etudiants de premiere annee."
Simulation CE 038 - Tribune accompagnement methodologique,B2,Texte argumentatif,Debat d'idees,14,"Le debat sur accompagnement methodologique est souvent presente de maniere binaire: soit une solution miracle, soit une menace pour la qualite. Cette opposition simplifie un sujet plus complexe. Les partisans soulignent la flexibilite, l'acces rapide aux ressources et la possibilite de personnaliser le rythme d'apprentissage.

Dans une enquete recente, 72% des etudiants declarent mieux organiser leur travail avec des outils numeriques. En revanche, 32% signalent une baisse de concentration quand les modalites d'accompagnement sont insuffisantes. Autrement dit, la technologie ne produit pas automatiquement des effets positifs: la qualite du cadre pedagogique reste decisive.

Plutot que de choisir entre deux modeles exclusifs, plusieurs etablissements experimentent des dispositifs hybrides. Ils combinent flexibilite technique, suivi humain regulier et exigences explicites sur la methode de travail. Cette approche vise moins a opposer les formats qu'a renforcer la reussite durable."
Simulation CE 039 - Annonce espace municipal Victor-Hugo,A2,Annonce publique,Informations pratiques,8,"Le espace municipal Victor-Hugo modifie ses horaires a partir du 16 juin. Le lundi et le mercredi, il ouvre de 10h a 19h. Le mardi et le jeudi, il ouvre de 12h a 20h. Le vendredi, il ferme a 18h. Les samedis sont reserves aux activites en famille, de 9h a 13h.

Pendant le mois de juin, l'inscription est gratuite pour les nouveaux habitants. Pour s'inscrire, il faut presenter une piece d'identite et un justificatif de domicile recent.

Un atelier de conversation en francais est propose chaque jeudi a 17h30. Les places sont limitees a 19 participants. La reservation se fait a l'accueil ou par telephone."
