titre,tache_tcf,niveau,consigne,min_mots,max_mots
Debat: usage des smartphones en classe,Tache 3,B2,"Redigez un texte argumentatif sur le theme 'usage des smartphones en classe'. Presentez avantages, limites et position personnelle.",180,230
Debat: apprentissage des langues en ligne,Tache 3,B2,"Redigez un texte argumentatif sur le theme 'apprentissage des langues en ligne'. Presentez avantages, limites et position personnelle.",180,230
Debat: importance de la prise de notes,Tache 3,B2,"Redigez un texte argumentatif sur le theme 'importance de la prise de notes'. Presentez avantages, limites et position personnelle.",180,230
Debat: uniforme scolaire: pour ou contre,Tache 3,B2,"Redigez un texte argumentatif sur le theme 'uniforme scolaire: pour ou contre'. Presentez avantages, limites et position personnelle.",180,230
Debat: impact du cout de la vie etudiante,Tache 3,B2,"Redigez un texte argumentatif sur le theme 'impact du cout de la vie etudiante'. Presentez avantages, limites et position personnelle.",180,230
Debat: gestion du stress avant les examens,Tache 3,B2,"Redigez un texte argumentatif sur le theme 'gestion du stress avant les examens'. Presentez avantages, limites et position personnelle.",180,230
Debat: importance des stages,Tache 3,B2,"Redigez un texte argumentatif sur le theme 'importance des stages'. Presentez avantages, limites et position personnelle.",180,230
Debat: plagiat et integrite academique,Tache 3,B2,"Redigez un texte argumentatif sur le theme 'plagiat et integrite academique'. Presentez avantages, limites et position personnelle.",180,230
Debat avance: apprentissage mobile et efficacite,Tache 3,B2,"Redigez un texte argumentatif (200 a 240 mots) sur 'apprentissage mobile et efficacite'. Structurez la these, les arguments et la conclusion.",200,240
Debat avance: intelligence artificielle et creativite,Tache 3,B2,"Redigez un texte argumentatif (200 a 240 mots) sur 'intelligence artificielle et creativite'. Structurez la these, les arguments et la conclusion.",200,240
Debat avance: travail de groupe et evaluation individuelle,Tache 3,B2,"Redigez un texte argumentatif (200 a 240 mots) sur 'travail de groupe et evaluation individuelle'. Structurez la these, les arguments et la conclusion.",200,240
Debat avance: formation continue pour adultes,Tache 3,B2,"Redigez un texte argumentatif (200 a 240 mots) sur 'formation continue pour adultes'. Structurez la these, les arguments et la conclusion.",200,240
Debat avance: podcasts comme outil d'apprentissage,Tache 3,B2,"Redigez un texte argumentatif (200 a 240 mots) sur 'podcasts comme outil d'apprentissage'. Structurez la these, les arguments et la conclusion.",200,240
Debat avance: activites culturelles a l'universite,Tache 3,B2,"Redigez un texte argumentatif (200 a 240 mots) sur 'activites culturelles a l'universite'. Structurez la these, les arguments et la conclusion.",200,240
Debat avance: equilibre vie personnelle et etudes,Tache 3,B2,"Redigez un texte argumentatif (200 a 240 mots) sur 'equilibre vie personnelle et etudes'. Structurez la these, les arguments et la conclusion.",200,240
Debat avance: usage des jeux serieux en education,Tache 3,B2,"Redigez un texte argumentatif (200 a 240 mots) sur 'usage des jeux serieux en education'. Structurez la these, les arguments et la conclusion.",200,240
Debat avance: competences numeriques et emploi,Tache 3,B2,"Redigez un texte argumentatif (200 a 240 mots) sur 'competences numeriques et emploi'. Structurez la these, les arguments et la conclusion.",200,240
Debat avance: transport public pour les etudiants,Tache 3,B2,"Redigez un texte argumentatif (200 a 240 mots) sur 'transport public pour les etudiants'. Structurez la these, les arguments et la conclusion.",200,240
Debat avance: bibliotheques universitaires du futur,Tache 3,B2,"Redigez un texte argumentatif (200 a 240 mots) sur 'bibliotheques universitaires du futur'. Structurez la these, les arguments et la conclusion.",200,240
Debat avance: apprentissage intergenerationnel,Tache 3,B2,"Redigez un texte argumentatif (200 a 240 mots) sur 'apprentissage intergenerationnel'. Structurez la these, les arguments et la conclusion.",200,240
Debat avance: tourisme linguistique,Tache 3,B2,"Redigez un texte argumentatif (200 a 240 mots) sur 'tourisme linguistique'. Structurez la these, les arguments et la conclusion.",200,240
Debat avance: stages obligatoires pour tous,Tache 3,B2,"Redigez un texte argumentatif (200 a 240 mots) sur 'stages obligatoires pour tous'. Structurez la these, les arguments et la conclusion.",200,240
Debat avance: evaluation par projets,Tache 3,B2,"Redigez un texte argumentatif (200 a 240 mots) sur 'evaluation par projets'. Structurez la these, les arguments et la conclusion.",200,240
Debat avance: citoyennete numerique,Tache 3,B2,"Redigez un texte argumentatif (200 a 240 mots) sur 'citoyennete numerique'. Structurez la these, les arguments et la conclusion.",200,240
Debat avance: sante mentale des etudiants,Tache 3,B2,"Redigez un texte argumentatif (200 a 240 mots) sur 'sante mentale des etudiants'. Structurez la these, les arguments et la conclusion.",200,240
Debat avance: multilinguisme et integration,Tache 3,B2,"Redigez un texte argumentatif (200 a 240 mots) sur 'multilinguisme et integration'. Structurez la these, les arguments et la conclusion.",200,240
Debat avance: autonomie et encadrement pedagogique,Tache 3,B2,"Redigez un texte argumentatif (200 a 240 mots) sur 'autonomie et encadrement pedagogique'. Structurez la these, les arguments et la conclusion.",200,240
Debat avance: eco-responsabilite sur les campus,Tache 3,B2,"Redigez un texte argumentatif (200 a 240 mots) sur 'eco-responsabilite sur les campus'. Structurez la these, les arguments et la conclusion.",200,240
